,ID,Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,Position,Jersey Number,Height,Weight,Release Clause
20,189511,Sergio Busquets,29,Spain,89,FC Barcelona,€51.5M,€315K,Right,CDM,5,6'2,168lbs,€105.6M
21,179813,E. Cavani,31,Uruguay,89,Paris Saint-Germain,€60M,€200K,Right,LS,21,6'1,170lbs,€111M
22,167495,M. Neuer,32,Germany,89,FC Bayern München,€38M,€130K,Right,GK,1,6'4,203lbs,€62.7M
23,153079,S. Agüero,30,Argentina,89,Manchester City,€64.5M,€300K,Right,ST,10,5'8,154lbs,€119.3M
24,138956,G. Chiellini,33,Italy,89,Juventus,€27M,€215K,Left,LCB,3,6'2,187lbs,€44.6M
25,231747,K. Mbappé,19,France,88,Paris Saint-Germain,€81M,€100K,Right,RM,10,5'10,161lbs,€166.1M
26,209331,M. Salah,26,Egypt,88,Liverpool,€69.5M,€255K,Left,RM,10,5'9,157lbs,€137.3M
27,200145,Casemiro,26,Brazil,88,Real Madrid,€59.5M,€285K,Right,CDM,14,6'1,185lbs,€126.4M
28,198710,J. Rodríguez,26,Colombia,88,FC Bayern München,€69.5M,€315K,Left,LAM,10,5'11,172lbs,
29,198219,L. Insigne,27,Italy,88,Napoli,€62M,€165K,Right,LW,10,5'4,130lbs,€105.4M
30,197781,Isco,26,Spain,88,Real Madrid,€73.5M,€315K,Right,LW,22,5'9,174lbs,€156.2M
31,190460,C. Eriksen,26,Denmark,88,Tottenham Hotspur,€73.5M,€205K,Right,CAM,10,5'11,168lbs,€141.5M
32,189242,Coutinho,26,Brazil,88,FC Barcelona,€69.5M,€340K,Right,LW,7,5'8,150lbs,€147.7M
33,188567,P. Aubameyang,29,Gabon,88,Arsenal,€59M,€265K,Right,LM,14,6'2,176lbs,€112.1M
34,178603,M. Hummels,29,Germany,88,FC Bayern München,€46M,€160K,Right,LCB,5,6'3,203lbs,€75.9M
35,176676,Marcelo,30,Brazil,88,Real Madrid,€43M,€285K,Left,LB,12,5'9,176lbs,€88.2M
36,173731,G. Bale,28,Wales,88,Real Madrid,€60M,€355K,Left,ST,11,6'1,181lbs,€123M
37,167948,H. Lloris,31,France,88,Tottenham Hotspur,€36M,€150K,Left,GK,1,6'2,181lbs,€66.6M
38,167664,G. Higuaín,30,Argentina,88,Milan,€57M,€245K,Right,LS,9,6'1,196lbs,
39,164240,Thiago Silva,33,Brazil,88,Paris Saint-Germain,€24M,€165K,Right,RCB,2,6'0,181lbs,€44.4M
40,162835,S. Handanovič,33,Slovenia,88,Inter,€30M,€110K,Right,GK,1,6'4,203lbs,€51M
41,1179,G. Buffon,40,Italy,88,Paris Saint-Germain,€4M,€77K,Right,GK,1,6'4,203lbs,€7.4M
42,205600,S. Umtiti,24,France,87,FC Barcelona,€57M,€205K,Left,CB,23,6'0,165lbs,€121.1M
43,201399,M. Icardi,25,Argentina,87,Inter,€64.5M,€130K,Right,ST,9,5'11,165lbs,€114.5M
44,201024,K. Koulibaly,27,Senegal,87,Napoli,€51M,€115K,Right,LCB,26,6'2,196lbs,€90.5M
45,195864,P. Pogba,25,France,87,Manchester United,€64M,€210K,Right,RDM,6,6'4,185lbs,€123.2M
46,193041,K. Navas,31,Costa Rica,87,Real Madrid,€30.5M,€195K,Right,GK,1,6'1,176lbs,€62.5M
47,192505,R. Lukaku,25,Belgium,87,Manchester United,€62.5M,€230K,Left,ST,9,6'3,207lbs,€120.3M
48,192387,C. Immobile,28,Italy,87,Lazio,€52M,€115K,Right,ST,17,6'1,187lbs,€88.4M
49,189332,Jordi Alba,29,Spain,87,FC Barcelona,€38M,€250K,Left,LB,18,5'7,150lbs,€77.9M
50,175943,D. Mertens,31,Belgium,87,Napoli,€45M,€135K,Right,RF,14,5'7,134lbs,€76.5M
51,172871,J. Vertonghen,31,Belgium,87,Tottenham Hotspur,€34M,€155K,Left,LCB,5,6'2,190lbs,€62.9M
52,171877,M. Hamšík,30,Slovakia,87,Napoli,€46.5M,€125K,Right,LCM,17,6'0,174lbs,€79.1M
53,168651,I. Rakitić,30,Croatia,87,FC Barcelona,€46.5M,€260K,Right,RCM,4,6'0,172lbs,€95.3M
54,152729,Piqué,31,Spain,87,FC Barcelona,€34M,€240K,Right,RCB,3,6'4,187lbs,€69.7M
55,222492,L. Sané,22,Germany,86,Manchester City,€61M,€195K,Left,LW,19,6'0,165lbs,€125.1M
56,218667,Bernardo Silva,23,Portugal,86,Manchester City,€59.5M,€180K,Left,RW,11,5'8,141lbs,€114.5M
57,210257,Ederson,24,Brazil,86,Manchester City,€41.5M,€125K,Left,GK,31,6'2,190lbs,€79.9M
58,208722,S. Mané,26,Senegal,86,Liverpool,€52M,€195K,Right,LM,10,5'9,152lbs,€102.7M
59,203376,V. van Dijk,26,Netherlands,86,Liverpool,€44.5M,€165K,Right,LCB,4,6'4,203lbs,€87.9M
60,202652,R. Sterling,23,England,86,Manchester City,€56.5M,€195K,Right,RW,10,5'7,152lbs,€108.8M
61,201942,Roberto Firmino,26,Brazil,86,Liverpool,€53M,€195K,Right,CAM,9,5'11,168lbs,€104.7M
62,201535,R. Varane,25,France,86,Real Madrid,€50M,€210K,Right,RCB,4,6'3,179lbs,€106.3M
63,199556,M. Verratti,25,Italy,86,Paris Saint-Germain,€55M,€135K,Right,LCM,6,5'5,132lbs,€105.9M
64,191043,Alex Sandro,27,Brazil,86,Juventus,€36.5M,€160K,Left,LB,12,5'11,176lbs,€60.2M
65,190483,Douglas Costa,27,Brazil,86,Juventus,€46.5M,€175K,Left,LM,11,5'8,154lbs,€76.7M
66,189596,T. Müller,28,Germany,86,FC Bayern München,€45M,€135K,Right,CAM,13,6'1,165lbs,€74.3M
67,189509,Thiago,27,Spain,86,FC Bayern München,€45.5M,€130K,Right,CM,19,5'9,154lbs,€75.1M
68,188350,M. Reus,29,Germany,86,Borussia Dortmund,€43.5M,€100K,Right,LM,11,5'11,157lbs,€74M
69,184432,Azpilicueta,28,Spain,86,Chelsea,€35M,€175K,Right,RB,14,5'10,168lbs,€64.8M
70,184344,L. Bonucci,31,Italy,86,Juventus,€30M,€160K,Right,RCB,19,6'3,187lbs,€49.5M
71,184087,T. Alderweireld,29,Belgium,86,Tottenham Hotspur,€39M,€150K,Right,RCB,2,6'1,179lbs,€75.1M
72,180206,M. Pjanić,28,Bosnia Herzegovina,86,Juventus,€44M,€180K,Right,CDM,5,5'10,159lbs,€72.6M
73,177509,M. Benatia,31,Morocco,86,Juventus,€30M,€160K,Right,CB,4,6'2,207lbs,€49.5M
74,176635,M. Özil,29,Germany,86,Arsenal,€43.5M,€190K,Left,CAM,10,5'11,168lbs,€82.7M
75,135507,Fernandinho,33,Brazil,86,Manchester City,€18M,€185K,Right,CDM,25,5'10,148lbs,€33.3M
77,232363,M. Škriniar,23,Slovakia,85,Inter,€46.5M,€82K,Right,LCB,37,6'2,176lbs,€88.4M
78,223848,S. Milinković-Savić,23,Serbia,85,Lazio,€50.5M,€73K,Right,CM,21,6'3,168lbs,€89.6M
79,220834,Marco Asensio,22,Spain,85,Real Madrid,€54M,€215K,Left,RW,10,6'0,168lbs,€121.5M
80,216594,N. Fekir,24,France,85,Olympique Lyonnais,€50M,€92K,Left,CAM,18,5'8,165lbs,€98.8M
81,212831,Alisson,25,Brazil,85,Liverpool,€36.5M,€115K,Right,GK,13,6'3,201lbs,€72.1M
82,212622,J. Kimmich,23,Germany,85,FC Bayern München,€40.5M,€92K,Right,RCM,18,5'9,154lbs,€69.9M
83,208421,Saúl,23,Spain,85,Atlético Madrid,€50.5M,€77K,Left,RCM,6,6'0,170lbs,€107.3M
84,204485,R. Mahrez,27,Algeria,85,Manchester City,€40.5M,€205K,Left,RW,26,5'10,148lbs,€74.9M
85,197445,D. Alaba,26,Austria,85,FC Bayern München,€38M,€110K,Left,LB,8,5'11,168lbs,€65.6M
86,193747,Koke,26,Spain,85,Atlético Madrid,€45M,€88K,Right,LM,8,5'9,163lbs,€95.6M
87,193301,A. Lacazette,27,France,85,Arsenal,€45M,€180K,Right,ST,9,5'9,161lbs,€88.9M
88,192774,K. Manolas,27,Greece,85,Roma,€37.5M,€96K,Right,LCB,4,6'2,183lbs,€66.6M
89,192366,N. Otamendi,30,Argentina,85,Manchester City,€28.5M,€170K,Right,CB,30,6'0,179lbs,€52.7M
90,189513,Parejo,29,Spain,85,Valencia CF,€37M,€66K,Right,RCM,10,6'0,163lbs,€77.7M
91,187961,Paulinho,29,Brazil,85,Guangzhou Evergrande Taobao FC,€37M,€235K,Right,LDM,9,6'0,157lbs,
92,186153,W. Szczęsny,28,Poland,85,Juventus,€32M,€125K,Right,GK,1,6'5,198lbs,€55.2M
93,184941,A. Sánchez,29,Chile,85,Manchester United,€37.5M,€215K,Right,RW,7,5'7,163lbs,€69.4M
94,184267,Y. Brahimi,28,Algeria,85,FC Porto,€39M,€28K,Right,LM,8,5'9,146lbs,€78M
95,183907,J. Boateng,29,Germany,85,FC Bayern München,€30M,€115K,Right,RCB,17,6'4,198lbs,€49.5M
96,181872,A. Vidal,31,Chile,85,FC Barcelona,€26M,€205K,Right,CAM,8,5'11,165lbs,€53.3M
97,181458,I. Perišić,29,Croatia,85,Inter,€37.5M,€110K,Right,LM,44,6'1,176lbs,€63.8M
98,180930,E. Džeko,32,Bosnia Herzegovina,85,Roma,€30.5M,€115K,Right,ST,9,6'4,185lbs,€51.9M
99,179846,S. Khedira,31,Germany,85,Juventus,€33M,€160K,Right,RCM,6,6'2,198lbs,€54.5M
100,179844,Diego Costa,29,Spain,85,Atlético Madrid,€38.5M,€100K,Right,LS,19,6'2,190lbs,€78.9M
101,178518,R. Nainggolan,30,Belgium,85,Inter,€35.5M,€105K,Right,CAM,14,5'9,170lbs,€60.4M
102,171919,Naldo,35,Brazil,85,FC Schalke 04,€9M,€38K,Right,CB,29,6'6,201lbs,€15.3M
103,170890,B. Matuidi,31,France,85,Juventus,€26M,€145K,Left,LM,14,5'11,165lbs,€42.9M
104,168609,Miranda,33,Brazil,85,Inter,€15.5M,€96K,Right,CB,23,6'1,172lbs,€26.4M
105,165153,K. Benzema,30,France,85,Real Madrid,€37M,€240K,Right,ST,9,6'1,179lbs,€75.9M
106,164169,Filipe Luís,32,Brazil,85,Atlético Madrid,€21.5M,€81K,Left,LB,3,6'0,163lbs,€44.1M
107,139720,V. Kompany,32,Belgium,85,Manchester City,€22M,€170K,Right,CB,4,6'3,187lbs,€40.7M
108,120533,Pepe,35,Portugal,85,Beşiktaş JK,€9M,€57K,Right,RCB,3,6'2,179lbs,€17.1M
110,220793,D. Sánchez,22,Colombia,84,Tottenham Hotspur,€34M,€105K,Right,RCB,23,6'2,174lbs,€65.5M
111,216460,J. Giménez,23,Uruguay,84,Atlético Madrid,€34M,€63K,Right,RCB,24,6'1,176lbs,€72.3M
112,212462,Alex Telles,25,Brazil,84,FC Porto,€32M,€22K,Left,LB,13,5'11,157lbs,€66.4M
113,212218,A. Laporte,24,France,84,Manchester City,€34M,€135K,Left,LCB,14,6'2,187lbs,€65.5M
114,212198,Bruno Fernandes,23,Portugal,84,Sporting CP,€40.5M,€22K,Right,LCM,8,5'10,152lbs,€84M
115,212190,N. Süle,22,Germany,84,FC Bayern München,€36.5M,€84K,Right,CB,15,6'5,214lbs,€67.5M
116,211300,A. Martial,22,France,84,Manchester United,€42.5M,€165K,Right,LW,11,6'0,168lbs,€87.1M
117,211117,D. Alli,22,England,84,Tottenham Hotspur,€42.5M,€115K,Right,LCM,20,6'2,176lbs,€87.1M
118,209499,Fabinho,24,Brazil,84,Liverpool,€34M,€120K,Right,CDM,3,6'2,172lbs,€67.2M
119,207865,Marquinhos,24,Brazil,84,Paris Saint-Germain,€35.5M,€90K,Right,LDM,5,6'0,165lbs,€68.3M
120,207566,William Carvalho,26,Portugal,84,Real Betis,€31.5M,€38K,Right,CDM,14,6'2,183lbs,€68.5M
121,205498,Jorginho,26,Italy,84,Chelsea,€38M,€155K,Right,CM,8,5'11,148lbs,€73.2M
122,204970,F. Thauvin,25,France,84,Olympique de Marseille,€39M,€72K,Left,RM,20,5'10,154lbs,€77M
123,204963,Carvajal,26,Spain,84,Real Madrid,€31.5M,€185K,Right,RB,2,5'8,161lbs,€66.9M
124,202556,M. Depay,24,Netherlands,84,Olympique Lyonnais,€42M,€93K,Right,ST,10,5'9,172lbs,€83M
125,200104,H. Son,25,Korea Republic,84,Tottenham Hotspur,€37M,€125K,Right,LM,7,6'0,143lbs,€71.2M
126,199482,A. Lopes,27,Portugal,84,Olympique Lyonnais,€25M,€72K,Left,GK,1,6'0,179lbs,€49.4M
127,198176,S. de Vrij,26,Netherlands,84,Inter,€31.5M,€88K,Right,CB,14,6'2,172lbs,€55.9M
128,198009,M. Perin,25,Italy,84,Juventus,€29.5M,€105K,Right,GK,22,6'2,170lbs,€50.9M
129,193082,J. Cuadrado,30,Colombia,84,Juventus,€29.5M,€150K,Right,RAM,11,5'10,159lbs,€48.7M
130,192629,Iago Aspas,30,Spain,84,RC Celta,€30M,€45K,Left,ST,17,5'9,148lbs,€63M
131,192563,B. Leno,26,Germany,84,Arsenal,€27M,€115K,Right,GK,12,6'3,183lbs,€53.3M
132,191202,N. Matić,29,Serbia,84,Manchester United,€24M,€165K,Left,CDM,31,6'4,187lbs,€44.4M
133,190941,L. Hrádecký,28,Finland,84,Bayer 04 Leverkusen,€22M,€74K,Right,GK,1,6'4,187lbs,€37.4M
134,190584,Illarramendi,28,Spain,84,Real Sociedad,€31M,€51K,Right,RDM,4,5'10,165lbs,€65.1M
135,188377,K. Walker,28,England,84,Manchester City,€24.5M,€165K,Right,RB,2,6'0,154lbs,€45.3M
136,186942,I. Gündoğan,27,Germany,84,Manchester City,€32M,€175K,Right,CM,21,5'11,176lbs,€59.2M
137,185020,José Callejón,31,Spain,84,Napoli,€27.5M,€105K,Right,RM,7,5'10,161lbs,€46.8M
138,183898,A. Di María,30,Argentina,84,Paris Saint-Germain,€29.5M,€125K,Left,RM,11,5'11,152lbs,€54.6M
139,181783,M. Mandžukić,32,Croatia,84,Juventus,€25M,€160K,Right,ST,17,6'3,187lbs,€41.3M
140,180403,Willian,29,Brazil,84,Chelsea,€30.5M,€175K,Right,RW,22,5'9,172lbs,€56.4M
141,178750,Sergio Asenjo,29,Spain,84,Villarreal CF,€24M,€42K,Right,GK,1,6'2,192lbs,€52.2M
142,178562,E. Banega,30,Argentina,84,Sevilla FC,€29M,€31K,Right,CDM,10,5'9,157lbs,€60.9M
143,177413,A. Witsel,29,Belgium,84,Borussia Dortmund,€24M,€77K,Right,LCM,6,6'2,179lbs,€40.8M
144,177388,D. Payet,31,France,84,Olympique de Marseille,€27.5M,€75K,Right,CAM,18,5'9,170lbs,€52.3M
145,176769,Jonas,34,Brazil,84,SL Benfica,€16.5M,€25K,Right,ST,10,5'11,163lbs,€33M
146,172879,Sokratis,30,Greece,84,Arsenal,€23M,€140K,Right,RCB,19,6'1,187lbs,€43.7M
147,167628,S. Ruffier,31,France,84,AS Saint-Étienne,€19M,€41K,Right,GK,16,6'2,205lbs,€36.1M
148,167397,Falcao,32,Colombia,84,AS Monaco,€25M,€115K,Right,RS,9,5'10,159lbs,€47.5M
149,163587,K. Schmeichel,31,Denmark,84,Leicester City,€19M,€78K,Right,GK,1,6'2,196lbs,€36.1M
150,157481,Raúl Albiol,32,Spain,84,Napoli,€18M,€88K,Right,RCB,33,6'3,181lbs,€30.6M
151,143076,A. Gómez,30,Argentina,84,Atalanta,€30M,€53K,Right,LS,10,5'5,150lbs,€51M
152,137186,A. Barzagli,37,Italy,84,Juventus,€4.2M,€95K,Right,CB,15,6'2,192lbs,€6.9M
153,20775,Quaresma,34,Portugal,84,Beşiktaş JK,€15.5M,€80K,Right,RM,7,5'9,148lbs,€29.5M
155,231443,O. Dembélé,21,France,83,FC Barcelona,€40M,€155K,Left,RW,11,5'10,148lbs,€90M
156,230666,Gabriel Jesus,21,Brazil,83,Manchester City,€41M,€130K,Right,ST,33,5'9,161lbs,€84.1M
157,230481,Ronaldo Cabrais,26,Brazil,83,Grêmio,€28M,€51K,Right,RW,7,5'10,165lbs,€50.4M
158,230375,Josué Chiamulera,26,Brazil,83,Grêmio,€22.5M,€43K,Right,LCB,4,6'1,176lbs,€40.5M
159,230294,Louri Beretta,26,Brazil,83,Atlético Mineiro,€28.5M,€60K,Right,ST,9,6'2,183lbs,€54.2M
160,225850,P. Kimpembe,22,France,83,Paris Saint-Germain,€30.5M,€82K,Left,LCB,3,6'2,176lbs,€62.5M
161,220971,N. Keïta,23,Guinea,83,Liverpool,€34M,€120K,Right,CM,8,5'8,141lbs,€67.2M
162,219683,C. Tolisso,23,France,83,FC Bayern München,€34M,€85K,Right,CM,24,5'11,179lbs,€58.7M
163,213565,T. Lemar,22,France,83,Atlético Madrid,€35.5M,€64K,Left,LM,8,5'7,137lbs,€79.9M
164,213345,K. Coman,22,France,83,FC Bayern München,€34M,€85K,Right,LM,29,5'10,157lbs,€58.7M
165,213331,J. Tah,22,Germany,83,Bayer 04 Leverkusen,€29.5M,€67K,Right,CB,20,6'5,214lbs,€52.4M
166,212523,Anderson Talisca,24,Brazil,83,Guangzhou Evergrande Taobao FC,€36.5M,€18K,Left,CAM,24,6'3,176lbs,
167,212188,T. Werner,22,Germany,83,RB Leipzig,€34.5M,€70K,Right,RW,9,5'11,165lbs,€61.2M
168,210008,A. Rabiot,23,France,83,Paris Saint-Germain,€33M,€91K,Left,CM,25,6'4,176lbs,€63.5M
169,209658,L. Goretzka,23,Germany,83,FC Bayern München,€34M,€85K,Right,CM,14,6'2,174lbs,€58.7M
170,208808,Q. Promes,26,Netherlands,83,Sevilla FC,€30.5M,€28K,Right,RM,9,5'9,159lbs,€66.3M
171,208670,H. Ziyech,25,Morocco,83,Ajax,€32.5M,€28K,Left,RAM,22,5'11,143lbs,€47.9M
172,208618,Lucas Vázquez,27,Spain,83,Real Madrid,€27M,€205K,Right,RW,17,5'8,154lbs,€55.4M
173,208418,Y. Carrasco,24,Belgium,83,Dalian YiFang FC,€33M,€20K,Right,LM,10,5'11,161lbs,€73.4M
174,208093,Gerard Moreno,26,Spain,83,Villarreal CF,€32M,€53K,Left,LS,7,5'11,170lbs,€69.6M
175,207863,Felipe,29,Brazil,83,FC Porto,€20M,€22K,Right,RCB,28,6'3,190lbs,€40M
176,207410,M. Kovačić,24,Croatia,83,Chelsea,€35M,€165K,Right,LCM,17,5'9,172lbs,
177,206585,Kepa,23,Spain,83,Chelsea,€28.5M,€84K,Right,GK,13,6'1,187lbs,€58.4M
178,206545,Manu Trigueros,26,Spain,83,Villarreal CF,€30M,€49K,Right,RCM,14,5'10,165lbs,€65.3M
179,206113,S. Gnabry,22,Germany,83,FC Bayern München,€34.5M,€85K,Right,ST,6,5'9,165lbs,€59.5M
180,204935,J. Pickford,24,England,83,Everton,€25M,€78K,Left,GK,1,6'1,170lbs,€49.4M
181,204639,S. Savić,27,Montenegro,83,Atlético Madrid,€26M,€67K,Right,CB,15,6'2,174lbs,€55.3M
182,203574,J. Stones,24,England,83,Manchester City,€28.5M,€125K,Right,RCB,5,6'2,154lbs,€54.9M
183,202651,Suso,24,Spain,83,Milan,€33M,€115K,Left,RW,11,5'9,154lbs,€58.6M
184,202166,J. Draxler,24,Germany,83,Paris Saint-Germain,€32.5M,€91K,Right,CM,7,6'2,170lbs,€62.6M
185,201995,Felipe Anderson,25,Brazil,83,West Ham United,€31.5M,€110K,Right,LM,8,5'9,154lbs,€62.2M
186,200949,Lucas Moura,25,Brazil,83,Tottenham Hotspur,€31M,€115K,Right,RM,27,5'9,154lbs,€59.7M
187,200888,Danilo Pereira,26,Portugal,83,FC Porto,€27M,€21K,Right,CDM,22,6'2,183lbs,€56M
188,200724,Nacho Fernández,28,Spain,83,Real Madrid,€24.5M,€180K,Right,CB,12,5'11,168lbs,€52.1M
189,200316,T. Horn,25,Germany,83,1. FC Köln,€24M,€25K,Left,GK,1,6'4,198lbs,€37.8M
190,199914,Allan,27,Brazil,83,Napoli,€26.5M,€87K,Right,RCM,5,5'9,163lbs,€45.1M
191,199845,F. Acerbi,30,Italy,83,Lazio,€19M,€64K,Left,CB,13,6'4,194lbs,€32.3M
192,199564,Sergi Roberto,26,Spain,83,FC Barcelona,€26.5M,€170K,Right,RB,20,5'10,150lbs,€56.3M
193,198329,Rodrigo,27,Spain,83,Valencia CF,€30.5M,€57K,Left,ST,9,6'0,170lbs,€66.3M
194,197965,Pizzi,28,Portugal,83,SL Benfica,€25.5M,€22K,Right,LCM,21,5'10,159lbs,€51M
195,195365,K. Kampl,27,Slovenia,83,RB Leipzig,€26.5M,€74K,Right,LCM,44,5'10,148lbs,€45.1M
196,194404,Neto,28,Brazil,83,Valencia CF,€21M,€41K,Right,GK,13,6'3,185lbs,€45.7M
197,193698,O. Baumann,28,Germany,83,TSG 1899 Hoffenheim,€21M,€42K,Right,GK,1,6'2,181lbs,€37.3M
198,193474,I. Gueye,28,Senegal,83,Everton,€21M,€125K,Right,RDM,17,5'9,146lbs,€39.9M
199,192883,H. Mkhitaryan,29,Armenia,83,Arsenal,€25.5M,€145K,Right,RM,7,5'10,165lbs,€48.5M
200,192638,Marcos Alonso,27,Spain,83,Chelsea,€24M,€130K,Left,LB,3,6'2,192lbs,€46.2M
201,192593,D. Subašić,33,Croatia,83,AS Monaco,€13M,€70K,Right,GK,1,6'3,185lbs,€24.7M
202,190547,K. Glik,30,Poland,83,AS Monaco,€19M,€86K,Right,RCB,15,6'3,176lbs,€36.1M
203,189712,K. Strootman,28,Netherlands,83,Olympique de Marseille,€21M,€66K,Left,CDM,16,6'1,176lbs,€39.9M
204,189068,B. Dost,29,Netherlands,83,Sporting CP,€26M,€26K,Right,ST,28,6'5,196lbs,€52M
205,188152,Oscar,26,Brazil,83,Shanghai SIPG FC,€30.5M,€29K,Right,LCM,8,5'10,146lbs,€69.4M
206,186627,M. Balotelli,27,Italy,83,OGC Nice,€27.5M,€55K,Right,LS,9,6'2,194lbs,€52.3M
207,185221,Luiz Gustavo,30,Brazil,83,Olympique de Marseille,€19M,€63K,Left,LCB,19,6'2,172lbs,€36.1M
208,184942,Giuliano,28,Brazil,83,Al Nassr,€26M,€64K,Right,CAM,77,5'8,150lbs,€44.2M
209,179944,David Luiz,31,Brazil,83,Chelsea,€17.5M,€130K,Right,LCB,30,6'2,190lbs,€32.4M
210,179783,R. Fährmann,29,Germany,83,FC Schalke 04,€20M,€38K,Right,GK,1,6'6,216lbs,€35.5M
211,178088,Juan Mata,30,Spain,83,Manchester United,€24.5M,€160K,Left,RM,8,5'7,139lbs,€45.3M
212,178086,Adán,31,Spain,83,Atlético Madrid,€15.5M,€55K,Left,GK,1,6'3,203lbs,€31.8M
213,178005,Rui Patrício,30,Portugal,83,Wolverhampton Wanderers,€16.5M,€74K,Left,GK,1,6'3,185lbs,€31.4M
214,177683,Y. Sommer,29,Switzerland,83,Borussia Mönchengladbach,€20M,€35K,Right,GK,1,6'0,174lbs,€35.5M
215,177610,Javi Martínez,29,Spain,83,FC Bayern München,€20M,€94K,Right,CDM,8,6'4,190lbs,€33M
216,177457,L. Bender,29,Germany,83,Bayer 04 Leverkusen,€20M,€82K,Right,RB,8,6'1,179lbs,€34M
217,176266,Lucas Leiva,31,Brazil,83,Lazio,€17.5M,€64K,Right,LDM,6,5'10,172lbs,€29.8M
218,163705,S. Mandanda,33,France,83,Olympique de Marseille,€13M,€51K,Right,GK,16,6'1,181lbs,€24.7M
219,162895,Cesc Fàbregas,31,Spain,83,Chelsea,€22M,€140K,Right,CM,4,5'10,170lbs,€40.7M
220,162240,M. Dembélé,30,Belgium,83,Tottenham Hotspur,€24M,€120K,Left,CM,19,6'1,181lbs,€44.4M
221,156616,F. Ribéry,35,France,83,FC Bayern München,€11.5M,€72K,Right,LM,7,5'7,159lbs,€19M
222,104389,R. Jarstein,33,Norway,83,Hertha BSC,€13M,€33K,Right,GK,1,6'3,181lbs,€22.1M
224,24630,Pepe Reina,35,Spain,83,Milan,€6M,€56K,Right,GK,25,6'2,203lbs,€10.2M
225,236583,J. Pavlenka,26,Czech Republic,82,SV Werder Bremen,€19.5M,€30K,Right,GK,1,6'5,179lbs,€34.6M
226,235243,M. de Ligt,18,Netherlands,82,Ajax,€27M,€11K,Right,RCB,3,6'2,196lbs,€43.2M
227,231866,Rodri,22,Spain,82,Atlético Madrid,€29M,€59K,Right,CM,16,6'3,181lbs,€61.6M
228,230658,Arthur,21,Brazil,82,FC Barcelona,€32.5M,€125K,Right,LCM,8,5'7,161lbs,€73.1M
229,230621,G. Donnarumma,19,Italy,82,Milan,€29M,€23K,Right,GK,22,6'5,198lbs,€55.1M
230,230258,Rosberto Dourado,30,Brazil,82,Atlético Mineiro,€16.5M,€46K,Right,RCM,13,5'9,154lbs,€31.4M
231,230225,Juiano Mestres,34,Brazil,82,Cruzeiro,€6.5M,€39K,Right,RCB,3,5'11,181lbs,€12.4M
232,230168,Raphaelito Anjos,30,Brazil,82,Grêmio,€14M,€32K,Right,GK,1,6'3,187lbs,€25.2M
233,227055,Gelson Martins,23,Portugal,82,Atlético Madrid,€29.5M,€59K,Right,RM,18,5'8,159lbs,€62.7M
